OverallQual,RoofStyle,WoodDeckSF,OpenPorchSF,SaleType
4,Gable,0,[473-531],WD,C1
3,Gable,0,0,WD,C1
4,Gambrel,0,[1-59],WD,C1
3,Gable,0,0,WD,C1
2,Gable,0,0,ConLw,C1
1,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
3,Gable,0,0,WD,C1
4,Gable,[1-82],0,COD,C1
4,Gable,[1-82],0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
3,Gable,0,0,WD,C1
6,Gable,0,[60-118],ConLD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gambrel,0,[119-177],WD,C1
4,Gable,[83-164],0,WD,C1
4,Gable,[247-328],0,WD,C1
4,Gable,[83-164],0,WD,C1
4,Hip,[83-164],0,WD,C1
6,Gable,[1-82],0,WD,C1
4,Gable,[165-246],0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,[1-82],[1-59],WD,C1
5,Gable,[165-246],0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],0,WD,C1
5,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
3,Hip,0,[60-118],WD,C1
5,Gable,0,0,WD,C1
6,Gable,[165-246],0,WD,C1
3,Gable,0,0,WD,C1
4,Gable,0,[1-59],WD,C1
5,Gable,0,[1-59],WD,C1
5,Gable,0,[1-59],Oth,C1
6,Gable,0,0,WD,C1
4,Hip,[83-164],0,WD,C1
5,Gable,[1-82],0,ConLw,C1
3,Gable,0,[60-118],WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],0,WD,C1
5,Gable,0,[1-59],WD,C1
5,Gable,0,0,WD,C1
5,Hip,0,[1-59],WD,C1
6,Gable,[1-82],0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
4,Gable,0,0,COD,C1
6,Gable,0,[119-177],WD,C1
4,Gable,[1-82],0,WD,C1
6,Gambrel,[83-164],0,WD,C1
5,Gable,0,0,WD,C1
4,Gable,0,0,WD,C1
6,Gable,0,0,WD,C1
3,Gable,[165-246],0,WD,C1
6,Gable,0,0,WD,C1
5,Hip,[1-82],[119-177],WD,C1
5,Gable,0,0,WD,C1
4,Gable,[165-246],[60-118],WD,C1
4,Gable,0,[1-59],WD,C2
4,Gable,0,[119-177],WD,C2
6,Gable,[83-164],0,WD,C2
3,Gambrel,0,0,WD,C2
5,Gable,0,[237-295],WD,C2
5,Gable,[165-246],0,WD,C2
4,Gable,0,[60-118],WD,C2
4,Gable,0,[1-59],COD,C2
5,Gable,[83-164],0,WD,C2
4,Gable,[83-164],0,WD,C2
5,Gable,0,0,WD,C2
4,Hip,0,0,WD,C2
5,Gable,0,[1-59],WD,C2
5,Gable,0,0,WD,C2
4,Gable,0,0,WD,C2
5,Gable,[83-164],0,WD,C2
5,Gable,[1-82],0,WD,C2
5,Hip,0,0,WD,C2
4,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
6,Gable,[165-246],[119-177],WD,C2
4,Hip,0,0,WD,C2
4,Hip,[165-246],0,COD,C2
6,Gable,0,0,COD,C2
5,Gable,0,0,WD,C2
5,Hip,0,0,WD,C2
5,Gable,[83-164],0,WD,C2
4,Gable,0,0,New,C2
6,Gable,0,[119-177],WD,C2
6,Gable,[83-164],[1-59],WD,C2
5,Gable,0,0,COD,C2
5,Gable,0,0,WD,C2
6,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
5,Hip,0,0,WD,C2
4,Gable,0,0,WD,C2
6,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
6,Gable,0,0,WD,C2
4,Gable,0,0,Oth,C2
6,Hip,[329-410],0,WD,C2
5,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
5,Gable,0,[60-118],WD,C2
5,Gable,0,[1-59],WD,C2
5,Gable,0,0,WD,C2
6,Gable,0,[1-59],WD,C2
6,Gable,0,[1-59],WD,C2
4,Gable,0,[178-236],WD,C2
5,Gable,0,0,WD,C2
5,Gable,[83-164],0,WD,C2
6,Gable,0,0,WD,C2
5,Gable,0,[60-118],WD,C2
5,Gable,[411-492],0,WD,C2
6,Gable,0,[1-59],WD,C2
6,Gable,[165-246],0,WD,C2
5,Hip,[165-246],0,WD,C2
6,Gable,0,0,WD,C2
4,Gable,[83-164],0,WD,C2
4,Gable,0,0,WD,C2
6,Gable,0,[60-118],WD,C2
5,Hip,0,0,WD,C2
5,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
8,Gable,0,[1-59],WD,C2
5,Gable,[165-246],[1-59],WD,C2
5,Gable,[1-82],0,WD,C2
5,Hip,[165-246],0,WD,C2
5,Gable,[165-246],[119-177],WD,C2
4,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
5,Gable,0,0,WD,C2
6,Gable,[83-164],0,WD,C2
5,Gable,0,[119-177],WD,C3
5,Gable,0,[60-118],COD,C3
5,Hip,0,0,COD,C3
4,Gable,0,0,WD,C3
5,Gable,[165-246],0,WD,C3
5,Gable,0,0,ConLI,C3
6,Hip,[247-328],0,WD,C3
5,Gable,0,0,WD,C3
4,Gable,0,[60-118],WD,C3
5,Gable,0,0,WD,C3
5,Gable,0,0,COD,C3
5,Gable,0,[60-118],WD,C3
3,Gable,[83-164],[60-118],WD,C3
5,Gable,[1-82],0,COD,C3
5,Gable,0,0,WD,C3
5,Gable,0,0,WD,C3
6,Gable,[83-164],0,WD,C3
5,Gable,[83-164],[1-59],WD,C3
5,Gable,[83-164],0,WD,C3
6,Hip,0,0,WD,C3
6,Flat,0,0,WD,C3
6,Gable,0,[1-59],WD,C3
6,Gable,0,[178-236],WD,C3
6,Gable,0,0,WD,C3
6,Gable,0,[60-118],WD,C3
6,Gable,0,[237-295],WD,C3
5,Gable,0,0,WD,C3
5,Gable,[165-246],0,WD,C3
5,Hip,0,0,WD,C3
5,Gable,0,0,WD,C3
5,Hip,0,0,WD,C3
4,Gable,[329-410],0,WD,C3
4,Gable,0,[237-295],WD,C3
4,Gable,[165-246],0,WD,C3
6,Gable,0,0,WD,C3
5,Hip,0,0,WD,C3
6,Gable,0,0,WD,C3
6,Gable,0,[1-59],WD,C3
7,Gable,0,[1-59],WD,C3
5,Hip,[165-246],0,WD,C3
5,Hip,[1-82],0,WD,C3
6,Gable,0,0,WD,C3
5,Gable,0,[178-236],WD,C3
7,Gable,0,[1-59],WD,C3
6,Gable,0,0,WD,C3
5,Hip,[165-246],0,WD,C3
5,Gable,0,0,WD,C3
6,Gable,[83-164],0,WD,C3
5,Hip,0,0,WD,C3
6,Gable,0,0,WD,C3
5,Hip,[247-328],0,WD,C3
5,Gable,[247-328],0,WD,C3
4,Gable,0,0,WD,C3
5,Hip,0,[1-59],WD,C3
5,Hip,0,0,WD,C3
6,Gable,[1-82],0,WD,C3
5,Gable,0,0,WD,C3
6,Gable,0,0,WD,C3
7,Gable,[83-164],[1-59],WD,C3
5,Gable,0,0,WD,C3
5,Gable,[83-164],0,WD,C3
6,Hip,0,0,WD,C3
5,Gable,[165-246],0,WD,C3
5,Gable,[493-574],[60-118],WD,C3
6,Gable,[83-164],0,WD,C3
5,Gable,[165-246],[1-59],WD,C3
7,Gable,0,0,WD,C3
5,Gable,[165-246],0,WD,C3
6,Gable,[1-82],0,WD,C3
5,Gable,0,0,WD,C3
4,Gable,0,0,WD,C3
5,Hip,0,[1-59],WD,C3
5,Gable,[1-82],0,WD,C3
5,Gable,[1-82],0,WD,M1
6,Hip,0,0,WD,M1
5,Gable,[1-82],[1-59],WD,M1
5,Gable,0,0,WD,M1
6,Gable,[329-410],0,WD,M1
6,Gable,[83-164],0,WD,M1
5,Gable,0,0,WD,M1
5,Hip,0,0,WD,M1
6,Gable,[83-164],[1-59],WD,M1
6,Gable,[83-164],0,WD,M1
4,Gable,0,0,WD,M1
4,Gable,0,0,WD,M1
5,Gable,[1-82],0,WD,M1
5,Hip,0,[1-59],WD,M1
5,Gable,0,0,WD,M1
5,Gable,[165-246],[1-59],WD,M1
5,Gable,0,0,WD,M1
6,Gable,0,[1-59],WD,M1
5,Gable,0,0,WD,M1
5,Gable,0,[60-118],WD,M1
5,Gable,0,0,COD,M1
6,Mansard,[83-164],0,WD,M1
5,Gable,[329-410],0,WD,M1
6,Gable,[329-410],0,WD,M1
3,Hip,0,0,WD,M1
5,Gable,0,0,WD,M1
7,Gable,0,[1-59],WD,M1
7,Gable,[1-82],[1-59],WD,M1
6,Hip,0,[1-59],WD,M1
5,Hip,0,0,WD,M1
5,Gable,[329-410],0,WD,M1
6,Hip,0,0,ConLD,M1
5,Gable,0,0,WD,M1
6,Gable,0,0,WD,M1
5,Gable,0,0,WD,M1
6,Gable,0,0,WD,M1
4,Gable,[329-410],0,WD,M1
4,Gable,0,0,WD,M1
5,Gable,[247-328],0,WD,M1
5,Gable,0,0,WD,M1
5,Gable,[83-164],0,WD,M1
5,Gable,0,[60-118],WD,M1
6,Hip,[165-246],0,WD,M1
5,Hip,0,0,COD,M1
5,Hip,[329-410],0,WD,M1
6,Gable,[83-164],0,WD,M1
5,Gable,0,0,WD,M1
5,Gable,[83-164],0,WD,M1
5,Gable,[1-82],[1-59],WD,M1
6,Gable,[1-82],0,WD,M1
5,Gable,[83-164],0,WD,M1
7,Hip,0,0,WD,M1
6,Hip,0,[1-59],WD,M1
5,Gable,[165-246],0,WD,M1
6,Gable,0,[60-118],WD,M1
5,Hip,[83-164],0,WD,M1
6,Gable,[247-328],[1-59],WD,M1
5,Gable,[247-328],0,WD,M1
7,Gable,0,0,ConLw,M1
6,Gable,[83-164],0,WD,M1
7,Gable,0,[119-177],WD,M1
6,Gable,[83-164],0,ConLD,M1
5,Hip,[83-164],[60-118],WD,M1
5,Gable,0,0,WD,M1
5,Gable,[247-328],0,WD,M1
5,Gable,[247-328],[1-59],WD,M1
4,Gable,[83-164],0,WD,M1
6,Hip,[165-246],0,WD,M1
5,Gable,0,[1-59],WD,M1
5,Gable,0,[60-118],WD,M1
7,Gable,0,[60-118],WD,M1
5,Hip,0,[60-118],WD,M1
6,Gable,[1-82],0,WD,M1
6,Gable,0,0,WD,M2
5,Gable,0,[1-59],WD,M2
5,Gable,[657-738],[60-118],WD,M2
6,Hip,0,0,WD,M2
6,Hip,[329-410],[1-59],WD,M2
5,Gable,0,0,WD,M2
6,Gable,0,0,WD,M2
5,Gable,[165-246],0,WD,M2
4,Gable,0,[60-118],WD,M2
5,Gable,0,0,WD,M2
7,Gable,0,[60-118],WD,M2
6,Gable,[83-164],0,WD,M2
5,Gable,0,[60-118],WD,M2
6,Hip,0,0,WD,M2
6,Gable,0,[119-177],WD,M2
5,Gable,[247-328],0,WD,M2
5,Gable,0,[119-177],WD,M2
5,Gable,0,[60-118],WD,M2
5,Gable,0,0,WD,M2
5,Gable,0,0,WD,M2
6,Gable,[1-82],0,WD,M2
6,Gable,[83-164],0,COD,M2
7,Gable,0,[119-177],WD,M2
6,Gable,[165-246],0,WD,M2
6,Gable,[657-738],[1-59],WD,M2
6,Hip,0,0,WD,M2
6,Gable,0,0,WD,M2
5,Mansard,[165-246],0,WD,M2
6,Hip,0,0,WD,M2
6,Gable,0,0,WD,M2
5,Hip,0,0,WD,M2
6,Hip,0,[178-236],WD,M2
6,Gable,0,[60-118],WD,M2
5,Gable,[411-492],0,WD,M2
7,Gable,0,[1-59],WD,M2
5,Hip,[165-246],0,WD,M2
5,Gable,0,0,WD,M2
5,Gable,[165-246],0,WD,M2
6,Hip,0,0,WD,M2
7,Gable,[247-328],0,WD,M2
5,Gable,0,0,WD,M2
6,Gable,0,0,WD,M2
7,Hip,0,[1-59],WD,M2
5,Gable,[165-246],0,WD,M2
6,Gable,0,0,WD,M2
6,Hip,[83-164],0,WD,M2
6,Gable,0,[1-59],New,M2
6,Hip,0,[178-236],WD,M2
5,Hip,0,0,WD,M2
6,Gable,0,[1-59],WD,M2
5,Gable,[1-82],[60-118],WD,M2
6,Gable,0,0,COD,M2
6,Gable,0,[60-118],COD,M2
6,Gable,[329-410],[1-59],WD,M2
6,Hip,[329-410],0,WD,M2
6,Gable,0,0,WD,M2
6,Gable,0,[60-118],WD,M2
7,Gable,0,[1-59],WD,M2
6,Hip,[247-328],0,WD,M2
6,Hip,0,0,WD,M2
7,Gable,[83-164],[1-59],WD,M2
6,Gable,[165-246],0,WD,M2
5,Gable,0,[60-118],WD,M2
5,Gable,0,0,WD,M2
5,Gable,[247-328],[1-59],WD,M2
7,Gambrel,0,0,WD,M2
4,Gable,[83-164],0,WD,M2
5,Gable,[329-410],[1-59],WD,M2
7,Gable,0,[1-59],WD,M2
6,Hip,0,[237-295],WD,M2
6,Gable,[247-328],[60-118],WD,M2
6,Gable,0,0,WD,M2
7,Gable,0,[296-354],WD,M2
6,Hip,0,0,WD,M3
6,Gable,0,[1-59],New,M3
6,Hip,0,[119-177],WD,M3
7,Gable,0,[1-59],New,M3
7,Gable,0,0,New,M3
6,Gable,[1-82],[60-118],WD,M3
6,Gable,[165-246],[1-59],WD,M3
5,Gable,[493-574],[60-118],WD,M3
7,Gable,[83-164],[1-59],WD,M3
6,Hip,[83-164],0,WD,M3
6,Hip,0,[296-354],WD,M3
5,Gable,[247-328],[1-59],WD,M3
6,Gable,[165-246],[60-118],WD,M3
5,Gable,0,0,WD,M3
7,Gable,[83-164],0,New,M3
7,Gable,[493-574],[119-177],WD,M3
5,Gable,[83-164],0,WD,M3
6,Gable,[247-328],[119-177],WD,M3
6,Gable,0,[1-59],WD,M3
4,Gable,[411-492],0,WD,M3
6,Gable,[165-246],0,WD,M3
6,Gable,[83-164],[1-59],WD,M3
5,Gable,0,[119-177],WD,M3
6,Gable,0,0,WD,M3
6,Gable,[83-164],0,New,M3
7,Gable,[83-164],0,WD,M3
5,Hip,0,[414-472],WD,M3
8,Gable,0,[60-118],WD,M3
7,Gable,0,[119-177],WD,M3
6,Gable,0,[1-59],WD,M3
6,Gable,[165-246],0,WD,M3
6,Gable,[165-246],[60-118],WD,M3
5,Gable,[247-328],[178-236],WD,M3
8,Gable,[83-164],0,WD,M3
5,Gable,0,0,WD,M3
6,Gable,0,[1-59],WD,M3
6,Hip,[165-246],0,WD,M3
6,Gable,0,0,New,M3
7,Gable,[165-246],[1-59],WD,M3
6,Gable,[83-164],[1-59],WD,M3
6,Hip,0,[1-59],WD,M3
6,Gable,0,[1-59],WD,M3
6,Gable,0,[178-236],New,M3
6,Gable,0,[1-59],New,M3
6,Gable,[83-164],[1-59],WD,M3
6,Gable,[1-82],[1-59],WD,M3
8,Gable,[165-246],0,WD,M3
6,Gable,0,[1-59],COD,M3
7,Gable,0,0,WD,M3
6,Gable,0,[119-177],WD,M3
6,Gable,0,0,WD,M3
6,Gable,[165-246],0,WD,M3
5,Gable,[247-328],0,WD,M3
5,Gable,[165-246],0,WD,M3
6,Gable,0,[1-59],WD,M3
7,Gable,0,[1-59],WD,M3
6,Gable,[83-164],0,WD,M3
7,Gable,[165-246],[1-59],WD,M3
4,Gable,[247-328],[60-118],WD,M3
6,Gable,0,[1-59],WD,M3
6,Gable,0,0,WD,M3
6,Gable,0,[1-59],WD,M3
8,Gable,[83-164],[1-59],WD,M3
6,Gable,[329-410],[1-59],WD,M3
6,Gable,0,[1-59],WD,M3
7,Gable,[329-410],0,WD,M3
6,Hip,[247-328],[60-118],WD,M3
7,Hip,[83-164],[1-59],WD,M3
6,Gable,[83-164],[60-118],WD,M3
5,Gable,[83-164],0,WD,M3
7,Gable,[83-164],[1-59],WD,M3
6,Gable,0,0,WD,M3
6,Gable,[83-164],[1-59],WD,M3
7,Gable,0,0,WD,M4
5,Gable,[247-328],[1-59],WD,M4
7,Hip,[83-164],[1-59],New,M4
6,Gable,[165-246],[178-236],WD,M4
5,Gable,0,[60-118],WD,M4
7,Gable,[247-328],0,WD,M4
6,Flat,0,[119-177],WD,M4
5,Gable,0,[60-118],WD,M4
7,Gable,0,[60-118],WD,M4
6,Gable,0,0,COD,M4
7,Hip,0,[1-59],WD,M4
6,Gable,0,0,WD,M4
6,Gambrel,0,0,WD,M4
5,Hip,[165-246],0,WD,M4
6,Gable,[165-246],0,WD,M4
6,Gable,0,[1-59],WD,M4
6,Gable,[83-164],[1-59],WD,M4
6,Gable,[247-328],0,WD,M4
6,Gable,[165-246],[60-118],WD,M4
7,Gable,0,[119-177],New,M4
6,Gable,0,0,WD,M4
6,Gable,[83-164],[60-118],WD,M4
7,Gable,[83-164],[1-59],WD,M4
7,Gable,0,[60-118],WD,M4
7,Gable,[83-164],[60-118],WD,M4
10,Hip,[165-246],[355-413],New,M4
7,Gable,0,[60-118],WD,M4
5,Flat,[411-492],0,WD,M4
7,Gable,0,[1-59],WD,M4
6,Hip,0,[60-118],WD,M4
7,Gable,[83-164],[60-118],WD,M4
6,Hip,0,0,WD,M4
5,Hip,0,[237-295],WD,M4
6,Gable,[83-164],[60-118],WD,M4
7,Gable,0,[1-59],WD,M4
7,Gable,[165-246],[1-59],WD,M4
6,Gable,[247-328],[1-59],WD,M4
6,Gable,[165-246],[60-118],WD,M4
7,Gable,[83-164],[1-59],WD,M4
6,Hip,0,0,WD,M4
7,Gable,[1-82],[1-59],WD,M4
7,Gable,[247-328],[1-59],WD,M4
7,Gable,0,[237-295],WD,M4
6,Hip,0,[119-177],COD,M4
7,Gable,0,[60-118],WD,M4
6,Gable,0,0,WD,M4
7,Gable,[165-246],[1-59],WD,M4
7,Gable,[165-246],[1-59],WD,M4
5,Gable,[165-246],[178-236],WD,M4
7,Gable,[83-164],[1-59],WD,M4
7,Gable,0,[119-177],WD,M4
7,Gable,[83-164],[1-59],WD,M4
6,Gable,[411-492],0,WD,M4
7,Hip,[247-328],[60-118],WD,M4
8,Gable,[83-164],[1-59],WD,M4
7,Gable,[83-164],[1-59],WD,M4
7,Gable,[83-164],[60-118],WD,M4
6,Gable,0,[60-118],WD,M4
6,Gable,[83-164],[60-118],WD,M4
6,Gable,0,[60-118],WD,M4
7,Gable,[165-246],[1-59],New,M4
7,Gable,[83-164],[60-118],WD,M4
5,Gable,[165-246],[178-236],WD,M4
7,Gable,[83-164],0,WD,M4
7,Gable,[83-164],[1-59],WD,M4
6,Gable,[165-246],[1-59],WD,M4
7,Gable,[83-164],[1-59],WD,M4
7,Gable,[83-164],[1-59],New,M4
7,Gable,0,[60-118],WD,M4
7,Gable,[165-246],[60-118],WD,M4
8,Gable,0,[60-118],WD,M4
5,Gable,[411-492],[60-118],WD,M4
7,Gable,0,0,ConLD,M4
7,Gable,0,[60-118],New,E1
6,Gable,[83-164],[1-59],ConLI,E1
6,Gable,[165-246],[1-59],WD,E1
7,Gable,0,[1-59],New,E1
6,Gable,0,[60-118],WD,E1
5,Gable,[83-164],0,WD,E1
6,Hip,0,0,WD,E1
6,Gable,[247-328],[60-118],WD,E1
8,Gable,[83-164],[1-59],WD,E1
7,Gable,[83-164],[1-59],WD,E1
7,Hip,[83-164],[60-118],WD,E1
7,Gable,[247-328],[60-118],New,E1
6,Hip,[83-164],[119-177],WD,E1
7,Gable,[329-410],[1-59],New,E1
6,Gable,[165-246],[60-118],WD,E1
7,Gable,0,[119-177],WD,E1
7,Gable,[83-164],[60-118],WD,E1
6,Gable,[247-328],0,WD,E1
7,Gable,[165-246],[1-59],WD,E1
5,Gable,[247-328],[237-295],WD,E1
7,Gable,[165-246],0,WD,E1
6,Gable,[329-410],[119-177],WD,E1
6,Gable,0,[60-118],New,E1
7,Gable,0,[237-295],New,E1
7,Gable,[83-164],[119-177],WD,E1
8,Gable,0,[1-59],WD,E1
6,Gable,0,[1-59],WD,E1
6,Gable,0,[1-59],WD,E1
8,Gable,[83-164],[60-118],WD,E1
7,Gable,[1-82],[178-236],WD,E1
7,Hip,[1-82],[60-118],WD,E1
7,Gable,[83-164],[1-59],WD,E1
7,Gable,[165-246],[60-118],WD,E1
7,Gable,0,0,WD,E1
7,Gable,0,[1-59],WD,E1
6,Hip,[165-246],[60-118],WD,E1
6,Gable,[83-164],[178-236],WD,E1
8,Gable,[83-164],[1-59],WD,E1
7,Gable,[329-410],[60-118],WD,E1
7,Gable,0,[60-118],WD,E1
5,Gable,0,0,WD,E1
5,Gable,0,[1-59],WD,E1
7,Gable,[575-656],[1-59],WD,E1
8,Gable,[165-246],[1-59],WD,E1
7,Gable,0,[60-118],New,E1
7,Gable,[83-164],[60-118],WD,E1
8,Gable,[83-164],[119-177],WD,E1
6,Gable,0,0,WD,E1
7,Gable,0,[60-118],WD,E1
7,Gable,0,[119-177],New,E1
6,Hip,[247-328],[1-59],WD,E1
7,Gable,[83-164],[1-59],WD,E1
7,Gable,[165-246],[60-118],WD,E1
6,Gable,0,[60-118],WD,E1
7,Gable,0,[1-59],WD,E1
6,Hip,[83-164],0,WD,E1
7,Gable,[83-164],[1-59],WD,E1
5,Gable,[83-164],0,WD,E1
8,Gable,[165-246],[119-177],New,E1
7,Gable,0,0,WD,E1
7,Gable,[83-164],[1-59],WD,E1
7,Gable,[83-164],[60-118],WD,E1
7,Gable,0,[178-236],WD,E1
7,Gable,0,[60-118],WD,E1
7,Gable,0,[60-118],WD,E1
7,Gable,[83-164],[60-118],New,E1
8,Hip,[493-574],[60-118],WD,E1
8,Gable,[165-246],[60-118],WD,E1
5,Gable,[657-738],0,WD,E1
7,Gable,0,0,WD,E1
8,Hip,[165-246],[119-177],WD,E1
7,Gable,[165-246],0,WD,E1
6,Gable,0,0,WD,E1
7,Gable,[165-246],[60-118],WD,E2
8,Gable,0,0,WD,E2
6,Gable,[247-328],[60-118],WD,E2
7,Gable,0,[60-118],WD,E2
8,Gable,[83-164],[60-118],WD,E2
7,Gable,[165-246],[1-59],WD,E2
8,Hip,0,[237-295],WD,E2
8,Gable,0,[119-177],New,E2
8,Gable,0,[1-59],New,E2
7,Gambrel,0,0,WD,E2
7,Gable,[83-164],[1-59],WD,E2
7,Gable,0,[178-236],WD,E2
8,Gable,0,[1-59],ConLD,E2
8,Gable,0,[178-236],WD,E2
6,Gable,0,[1-59],WD,E2
7,Gable,[1-82],[178-236],WD,E2
7,Gable,[411-492],[1-59],WD,E2
6,Hip,0,0,WD,E2
6,Gable,0,0,WD,E2
8,Gable,[83-164],[1-59],New,E2
8,Gable,0,[119-177],WD,E2
7,Gable,[165-246],[1-59],WD,E2
7,Gable,0,[60-118],New,E2
8,Gable,0,[60-118],WD,E2
7,Gable,0,[119-177],WD,E2
7,Mansard,[165-246],0,WD,E2
6,Gable,0,[1-59],WD,E2
7,Hip,0,0,WD,E2
7,Gable,[1-82],0,COD,E2
8,Gable,[165-246],[119-177],New,E2
8,Gable,[83-164],[60-118],WD,E2
8,Gable,[83-164],[1-59],WD,E2
8,Gable,[83-164],[1-59],WD,E2
7,Hip,0,[1-59],New,E2
8,Gable,[165-246],[60-118],WD,E2
8,Hip,[83-164],[1-59],WD,E2
8,Gable,0,[1-59],WD,E2
7,Gable,0,0,WD,E2
7,Gable,0,0,WD,E2
7,Gable,0,[119-177],New,E2
8,Gable,[83-164],[1-59],WD,E2
8,Gable,[83-164],[1-59],WD,E2
7,Gable,0,[1-59],WD,E2
8,Hip,[165-246],[1-59],WD,E2
8,Gable,[165-246],[60-118],WD,E2
8,Gable,[165-246],[1-59],WD,E2
8,Gable,0,0,WD,E2
8,Gable,0,[1-59],WD,E2
6,Hip,0,[60-118],WD,E2
7,Hip,[83-164],[1-59],WD,E2
7,Gable,[329-410],[60-118],WD,E2
7,Hip,[165-246],[1-59],WD,E2
8,Gable,[83-164],[119-177],WD,E2
7,Hip,[165-246],[119-177],WD,E2
7,Gable,[165-246],[178-236],WD,E2
8,Gable,0,[119-177],New,E2
8,Gable,[165-246],[1-59],New,E2
9,Hip,[493-574],[60-118],WD,E2
8,Gable,[165-246],[1-59],WD,E2
8,Gable,0,[60-118],New,E2
8,Hip,0,[1-59],WD,E2
8,Hip,[83-164],[1-59],WD,E2
6,Gable,[493-574],[237-295],WD,E2
7,Gable,[247-328],[119-177],WD,E2
8,Hip,0,[1-59],WD,E2
6,Flat,[575-656],[178-236],WD,E2
7,Gable,[1-82],0,WD,E2
8,Gable,[165-246],[60-118],WD,E2
8,Gable,[83-164],[1-59],WD,E2
8,Hip,[165-246],[119-177],WD,E2
8,Gable,[165-246],[1-59],WD,E2
8,Gable,0,[119-177],New,E2
6,Gable,0,[60-118],WD,E2
8,Gable,[165-246],[1-59],WD,E3
7,Gable,[83-164],[1-59],New,E3
8,Gable,[83-164],[178-236],WD,E3
8,Hip,[83-164],[1-59],WD,E3
8,Gable,0,0,New,E3
7,Gable,[247-328],[60-118],WD,E3
9,Hip,[247-328],[1-59],WD,E3
8,Hip,0,[1-59],WD,E3
8,Gable,0,[119-177],WD,E3
8,Gable,0,[1-59],WD,E3
8,Gable,0,[1-59],New,E3
7,Gable,0,[1-59],WD,E3
7,Gable,[165-246],[60-118],WD,E3
8,Gable,[83-164],[1-59],WD,E3
7,Gable,[247-328],0,WD,E3
8,Gable,[165-246],[1-59],WD,E3
8,Hip,[165-246],[1-59],WD,E3
8,Hip,0,[178-236],WD,E3
8,Hip,[247-328],[1-59],WD,E3
7,Gable,[329-410],[1-59],WD,E3
8,Gable,[493-574],0,WD,E3
8,Gable,[165-246],[355-413],New,E3
8,Gable,[165-246],0,WD,E3
8,Gable,[83-164],[1-59],WD,E3
10,Gable,[165-246],[1-59],WD,E3
9,Hip,[247-328],[60-118],WD,E3
7,Gable,[165-246],[60-118],WD,E3
8,Gable,[165-246],[119-177],WD,E3
8,Gable,[165-246],[60-118],New,E3
9,Hip,[165-246],[60-118],WD,E3
7,Hip,[329-410],0,WD,E3
9,Hip,[247-328],[60-118],WD,E3
9,Hip,[329-410],[60-118],WD,E3
8,Gable,[165-246],[119-177],New,E3
8,Gable,[165-246],[119-177],New,E3
9,Hip,[493-574],[60-118],WD,E3
7,Gable,[247-328],[1-59],WD,E3
9,Gable,[83-164],[60-118],CWD,E3
9,Gable,0,[60-118],WD,E3
8,Gable,0,[119-177],WD,E3
10,Hip,[165-246],[1-59],WD,E3
8,Gable,[83-164],[178-236],WD,E3
8,Gable,0,[119-177],WD,E3
9,Hip,[83-164],[1-59],New,E3
9,Hip,[165-246],0,WD,E3
9,Gable,[165-246],[119-177],WD,E3
8,Hip,[247-328],[60-118],New,E3
9,Hip,0,[60-118],New,E3
8,Hip,[247-328],[60-118],New,E3
9,Gable,[165-246],[119-177],New,E3
7,Hip,0,0,WD,E3
9,Gable,[165-246],[1-59],WD,E3
9,Hip,[83-164],[60-118],WD,E3
8,Gable,[247-328],[1-59],WD,E3
7,Gable,[83-164],[178-236],New,E3
10,Hip,[247-328],[60-118],WD,E3
8,Hip,[83-164],[1-59],New,E3
8,Hip,0,[60-118],New,E3
8,Gable,0,[119-177],WD,E3
10,Gable,[165-246],[119-177],New,E3
8,Hip,[247-328],[60-118],WD,E3
9,Hip,0,0,New,E3
10,Hip,[165-246],0,New,E3
8,Gable,[247-328],[60-118],New,E3
9,Hip,[83-164],[60-118],New,E3
10,Gable,[165-246],[178-236],New,E3
10,Hip,[247-328],[119-177],WD,E3
10,Gable,0,[237-295],WD,E3
9,Hip,[83-164],[60-118],New,E3
10,Hip,0,[60-118],WD,E3
9,Hip,[165-246],[60-118],New,E3

